"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","538","Авторизаиця с корректными учетными данными","tests","Mon Aug 25 21:00:59 UTC 2025","passed","Mon Aug 25 21:01:00 UTC 2025","","test_login","",""
"","366","Авторизаиця с недействительными учетными данными","tests","Mon Aug 25 21:00:59 UTC 2025","passed","Mon Aug 25 21:00:59 UTC 2025","","test_login","",""
"","3730","Добавление новой специальности в лист","tests","Mon Aug 25 21:01:00 UTC 2025","passed","Mon Aug 25 21:01:03 UTC 2025","","test_login","",""
"","255","Авторизаиця с корректными учетными данными","tests","Mon Aug 25 21:01:03 UTC 2025","passed","Mon Aug 25 21:01:04 UTC 2025","","test_login","",""
